Vector,Aggregation
V54061743,avg
V54061744,avg
V54061745,avg
V54061746,avg
V54061747,avg
V54061748,avg
V54061749,avg
V54061750,avg
V54061751,avg
V54061752,avg
V54061753,avg
V54061754,avg
V54061755,avg
V54061756,avg
V54061757,avg
V54061758,avg
V54061759,avg
V54061760,avg
V54061764,avg
V54061765,avg
V54061766,avg
V54061767,avg
V54061768,avg
V54061769,avg
V54061770,avg
V54061771,avg
V54061772,avg
V54061773,avg
V54061774,avg
V54061775,avg
V54061776,avg
V54061777,avg
V54061778,avg
V54061779,avg
V54061780,avg
V54061781,avg
V54061782,avg
V54061783,avg
V54061784,avg
V54061785,avg
V54061786,avg
V54061787,avg
V54061788,avg
V54061789,avg
V54061790,avg
V54061791,avg
V54061792,avg
V54061793,avg
V54061794,avg
V54061795,avg
V54061796,avg
V54061797,avg
V54061798,avg
V54061799,avg
V54061800,avg
V54061801,avg
V54061802,avg
V54061803,avg
V54061804,avg
V54061805,avg
V54061806,avg
V54061807,avg
V54061808,avg
V54061809,avg
V54061810,avg
V54061811,avg
V54061812,avg
V54061813,avg
V54061814,avg
V54061815,avg
V54061816,avg
V54061817,avg
V54061818,avg
V54061819,avg
V54061820,avg
V54061821,avg
V54061822,avg
V54061823,avg
V54061824,avg
V54061825,avg
V54061826,avg
V54061827,avg
V54061828,avg
V54061829,avg
V54061830,avg
V54061831,avg
V54061832,avg
V54061833,avg
V54061834,avg
V54061835,avg
V54061836,avg
V54061837,avg
V54061838,avg
V54061839,avg
V54061840,avg
V54061841,avg
V54061842,avg
V54061843,avg
V54061844,avg
V54061845,avg
V54061846,avg
V54061847,avg
V54061848,avg
V54061849,avg
V54061850,avg
V54061851,avg
V54061852,avg
V54061853,avg
V54061854,avg
V54061855,avg
V54061856,avg
V54061857,avg
V54061858,avg
V54061859,avg
V54061860,avg
V54061861,avg
V54061862,avg
V54061863,avg
V54061864,avg
V54061865,avg
V54061866,avg
V54061867,avg
V54061868,avg
V54061869,avg
V54061870,avg
V54061871,avg
V54061872,avg
V54061873,avg
V54061874,avg
V54061875,avg
V54061876,avg
V54061877,avg
V54061878,avg
V54061879,avg
V54061880,avg
V54061881,avg
V54061882,avg
V54061883,avg
V54061884,avg
V54061885,avg
V54061886,avg
V54061887,avg
V54061888,avg
V54061889,avg
V54061890,avg
V54061891,avg
V54061892,avg
V54061893,avg
V54061894,avg
V54061895,avg
V54061896,avg
V54061897,avg
V54061898,avg
V54061899,avg
V54061903,avg
V54061904,avg
V54061905,avg
V54061906,avg
V54061907,avg
V54061908,avg
V54061909,avg
V54061910,avg
V54061911,avg
V54061912,avg
V54061913,avg
V54061914,avg
V54061915,avg
V54061916,avg
V54061917,avg
V54061918,avg
V54061919,avg
V54061920,avg
V54061921,avg
V54061922,avg
V54061923,avg
V54061924,avg
V54061925,avg
V54061926,avg
V54061927,avg
V54061928,avg
V54061929,avg
V54061930,avg
V54061931,avg
V54061932,avg
V54061933,avg
V54061934,avg
V54061935,avg
V54061936,avg
V54061937,avg
V54061938,avg
V54061939,avg
V54061940,avg
V54061941,avg
V54061942,avg
V54061943,avg
V54061944,avg
V54061945,avg
V54061946,avg
V54061947,avg
V54061948,avg
V54061949,avg
V54061950,avg
V54061951,avg
V54061952,avg
V54061953,avg
V54061954,avg
V54061955,avg
V54061956,avg
V54061957,avg
V54061958,avg
V54061959,avg
V54061960,avg
V54061961,avg
V54061962,avg
V54061963,avg
V54061964,avg
V54061965,avg
V54061966,avg
V54061967,avg
V54061968,avg
V54061969,avg
V54061970,avg
V54061971,avg
V54061972,avg
V54061973,avg
V54061974,avg
V54061975,avg
V54061976,avg
V54061977,avg
V54061978,avg
V54061979,avg
V54061980,avg
V54061981,avg
V54061982,avg
V54061983,avg
V54061984,avg
V54061985,avg
V54061986,avg
V54061987,avg
V54061988,avg
V54061989,avg
V54061990,avg
V54061991,avg
V54061992,avg
V54061993,avg
V54061994,avg
V54061995,avg
V54061996,avg
V54061997,avg
V54061998,avg
V54061999,avg
V54062000,avg
V54062001,avg
V54062002,avg
V54062003,avg
V54062004,avg
V54062005,avg
V54062006,avg
V54062007,avg
V54062008,avg
V54062009,avg
V54062010,avg
V54062011,avg
V54062012,avg
V54062013,avg
V54062014,avg
V54062015,avg
V54062016,avg
V54062017,avg
V54062018,avg
V54062019,avg
V54062020,avg
V54062021,avg
V54062022,avg
V54062023,avg
V54062024,avg
V54062025,avg
V54062026,avg
V54062027,avg
V54062028,avg
V54062029,avg
V54062030,avg
V54062031,avg
V54062032,avg
V54062033,avg
V54062034,avg
V54062035,avg
V54062036,avg
V54062037,avg
V54062038,avg
V54062459,avg
V54062460,avg
V54062461,avg
V54062462,avg
V54062463,avg
V54062464,avg
V54062465,avg
V54062466,avg
V54062467,avg
V54062468,avg
V54062469,avg
V54062470,avg
V54062471,avg
V54062472,avg
V54062473,avg
V54062474,avg
V54062475,avg
V54062476,avg
V54062477,avg
V54062478,avg
V54062479,avg
V54062480,avg
V54062481,avg
V54062482,avg
V54062483,avg
V54062484,avg
V54062485,avg
V54062486,avg
V54062487,avg
V54062488,avg
V54062489,avg
V54062490,avg
V54062491,avg
V54062492,avg
V54062493,avg
V54062494,avg
V54062495,avg
V54062496,avg
V54062497,avg
V54062498,avg
V54062499,avg
V54062500,avg
V54062501,avg
V54062502,avg
V54062503,avg
V54062504,avg
V54062505,avg
V54062506,avg
V54062507,avg
V54062508,avg
V54062509,avg
V54062510,avg
V54062511,avg
V54062512,avg
V54062513,avg
V54062514,avg
V54062515,avg
V54062516,avg
V54062517,avg
V54062518,avg
V54062519,avg
V54062520,avg
V54062521,avg
V54062522,avg
V54062523,avg
V54062524,avg
V54062525,avg
V54062526,avg
V54062527,avg
V54062528,avg
V54062529,avg
V54062530,avg
V54062531,avg
V54062532,avg
V54062533,avg
V54062534,avg
V54062535,avg
V54062536,avg
V54062537,avg
V54062538,avg
V54062539,avg
V54062540,avg
V54062541,avg
V54062542,avg
V54062543,avg
V54062544,avg
V54062545,avg
V54062546,avg
V54062547,avg
V54062548,avg
V54062549,avg
V54062550,avg
V54062551,avg
V54062552,avg
V54062553,avg
V54062554,avg
V54062555,avg
V54062556,avg
V54062557,avg
V54062558,avg
V54062559,avg
V54062560,avg
V54062561,avg
V54062562,avg
V54062563,avg
V54062564,avg
V54062565,avg
V54062566,avg
V54062567,avg
V54062568,avg
V54062569,avg
V54062570,avg
V54062571,avg
V54062572,avg
V54062573,avg
V54062574,avg
V54062575,avg
V54062576,avg
V54062577,avg
V54062578,avg
V54062579,avg
V54062580,avg
V54062581,avg
V54062582,avg
V54062583,avg
V54062584,avg
V54062585,avg
V54062586,avg
V54062587,avg
V54062588,avg
V54062589,avg
V54062590,avg
V54062591,avg
V54062592,avg
V54062593,avg
V54062594,avg
V54062595,avg
V54062596,avg
V54062597,avg
V54062598,avg
V54062599,avg
V54062600,avg
V54062601,avg
V54062602,avg
V54062603,avg
V54062604,avg
V54062605,avg
V54062606,avg
V54062607,avg
V54062608,avg
V54062609,avg
V54062610,avg
V54062611,avg
V54062612,avg
V54062613,avg
V54062614,avg
V54062615,avg
V54062616,avg
V54062617,avg
V54062618,avg
V54062619,avg
V54062620,avg
V54062621,avg
V54062622,avg
V54062623,avg
V54062624,avg
V54062625,avg
V54062626,avg
V54062627,avg
V54062628,avg
V54062629,avg
V54062630,avg
V54062631,avg
V54062632,avg
V54062633,avg
V54062634,avg
V54062635,avg
V54062636,avg
V54062637,avg
V54062638,avg
V54062639,avg
V54062640,avg
V54062641,avg
V54062642,avg
V54062643,avg
V54062644,avg
V54062645,avg
V54062646,avg
V54062647,avg
V54062648,avg
V54062649,avg
V54062650,avg
V54062651,avg
