Vector,Aggregation
V61989266,avg
V61989267,avg
V61989268,avg
V61989269,avg
V61989270,avg
V61989271,avg
V61989272,avg
V61989273,avg
V61989274,avg
V61989275,avg
V61989276,avg
V62700962,avg
V61989277,avg
V61989278,avg
V61989279,avg
V61989280,avg
V61989281,avg
V61989282,avg
V61989283,avg
V61989284,avg
V61989285,avg
V61989286,avg
V61989287,avg
V61989288,avg
V61989289,avg
V61989290,avg
V61989291,avg
V61989292,avg
V61989293,avg
V61989294,avg
V61989295,avg
V62700961,avg
V61989296,avg
V62700960,avg
V61989297,avg
V61989298,avg
V61989299,avg
V61989300,avg
V61989301,avg
V61989302,avg
V61989303,avg
V61989304,avg
V61989305,avg
V61989306,avg
V61989307,avg
V61989308,avg
V61989309,avg
V61989310,avg
V61989311,avg
V61989312,avg
V61989313,avg
V61989314,avg
V61989315,avg
V61989316,avg
V61989317,avg
V61989318,avg
V61989319,avg
V61989320,avg
V61989321,avg
V61989322,avg
V61989323,avg
V61989324,avg
V61989325,avg
V61989326,avg
V61989327,avg
V61989328,avg
V62700971,avg
V61989329,avg
V61989330,avg
V61989331,avg
V61989332,avg
V61989333,avg
V61989334,avg
V61989335,avg
V61989336,avg
V61989337,avg
V61989338,avg
V61989339,avg
V61989340,avg
V61989341,avg
V61989342,avg
V61989343,avg
V61989344,avg
V61989345,avg
V61989346,avg
V61989347,avg
V62700970,avg
V61989348,avg
V62700969,avg
V61989349,avg
V61989350,avg
V61989351,avg
V61989352,avg
V61989353,avg
V61989354,avg
V61989355,avg
V61989356,avg
V61989357,avg
V61989358,avg
V61989359,avg
V61989360,avg
V61989361,avg
V61989362,avg
V61989363,avg
V61989364,avg
V61989365,avg
V61989366,avg
V61989367,avg
V61989368,avg
V61989369,avg
V61989370,avg
V61989371,avg
V61989372,avg
V61989373,avg
V61989374,avg
V61989375,avg
V61989376,avg
V61989377,avg
V61989378,avg
V61989379,avg
V61989380,avg
V62700968,avg
V61989381,avg
V61989382,avg
V61989383,avg
V61989384,avg
V61989385,avg
V61989386,avg
V61989387,avg
V61989388,avg
V61989389,avg
V61989390,avg
V61989391,avg
V61989392,avg
V61989393,avg
V61989394,avg
V61989395,avg
V61989396,avg
V61989397,avg
V61989398,avg
V61989399,avg
V62700967,avg
V61989400,avg
V62700966,avg
V61989401,avg
V61989402,avg
V61989403,avg
V61989404,avg
V61989405,avg
V61989406,avg
V61989407,avg
V61989408,avg
