sector_cd,PRODUCT,ProductCode,sector_cd_new
MPETAO,"Concrete products (x 1,000)",MPG327303,MPETO
MPETAO,"Custom work manufacturing services (except printing, finishing textiles and metals) (x 1,000)",MPS3X0000,MPETO
MPETAO,"Licensing of rights to non-financial produced intangible assets (except software and other copyright licensing) (x 1,000)",MPS533000,MPETO
MPETAO,"Lubricants and other petroleum refinery products (x 1,000)",MPG3241A8,MPETO
MPETAO,"Management, scientific and technical consulting services (x 1,000)",MPS541600,MPETO
MPETAO,"Non-metallic mineral products, n.e.c. (x 1,000)",MPG327A09,MPETO
MPETAO,"Office administrative services (x 1,000)",MPS561100,MPETO
MPETAO,"Other industry-specific machinery (x 1,000)",MPG333200,MPETO
MPETAO,"Own-account research and development (except software development) (x 1,000)",IMS541702,MPETO
MPETAO,"Own-account software design and development services (x 1,000)",IMS541502,MPETO
MPETAO,"Paints, coatings and adhesive products (x 1,000)",MPG325500,MPETO
MPETAO,"Paper (except newsprint) (x 1,000)",MPG322102,MPETO
MPETAO,"Rental of non-residential real estate (x 1,000)",MPS531102,MPETO
MPETAO,"Repair and maintenance services (except for buildings and motor vehicles) (x 1,000)",MPS811A00,MPETO
MPETAO,"Rooming and boarding services (x 1,000)",MPS721A02,MPETO
MPETAO,"Wholesale margins - building materials and supplies (x 1,000)",MPS416000,MPETO
MPETAO,"Stone (x 1,000)",MPG212310,MPETO
MPETAO,"Wholesale margins - petroleum and petroleum products (x 1,000)",MPS412000,MPETO
MPETAO,"Wholesale margins - miscellaneous products (x 1,000)",MPS418000,MPETO
MPETAO,"Soaps and cleaning compounds (x 1,000)",MPG325601,MPETO
MPETAO,"Head office services (imputed) (x 1,000)",IMS551002,MPETO
MPETAO,"Sand, gravel, clay, and refractory minerals (x 1,000)",MPG212320,MPETO
MPETAO,"Coal (x 1,000)",ENE212100,MPETO
MPETAO,"Wholesale trade commissions (x 1,000)",MPS410002,MPETO
MPETAO,"Solid fuel products, n.e.c. (x 1,000)",ENE32A000,MPETO
MMETN,"Basic and semi-finished products of non-ferrous metals and alloys (except aluminum) (x 1,000)",MPG331406,MMETNR
MMETN,"Custom work manufacturing services (except printing, finishing textiles and metals) (x 1,000)",MPS3X0000,MMETNA
MMETN,"Electricity (x 1,000)",ENE221100,MMETNA
MMETN,"Office administrative services (x 1,000)",MPS561100,MMETNA
MMETN,"Other basic inorganic chemicals (x 1,000)",MPG325106,MMETNA
MMETN,"Other unwrought non-ferrous metals including alloys (x 1,000)",MPG331404,MMETNA
MMETN,"Own-account research and development (except software development) (x 1,000)",IMS541702,MMETNA
MMETN,"Own-account software design and development services (x 1,000)",IMS541502,MMETNA
MMETN,"Repair and maintenance services (except for buildings and motor vehicles) (x 1,000)",MPS811A00,MMETNA
MMETN,"Unwrought nickel including alloys (x 1,000)",MPG331402,MMETNR
MMETN,"Waste and scrap of non-ferrous metals (x 1,000)",MPG331X02,MMETNA
MMETN,"Wholesale margins - miscellaneous products (x 1,000)",MPS418000,MMETNA
MMETN,"Wire and other rolled and drawn steel products (x 1,000)",MPG331202,MMETNA
MMETN,"Ammonia and chemical fertilizers (x 1,000)",MPG325301,MMETNA
MMETN,"Architectural, engineering and related services (x 1,000)",MPS541300,MMETNA
MMETN,"Commercial and industrial machinery and equipment (except office equipment) rental and leasing services (x 1,000)",MPS532A03,MMETNA
MMETN,"Head office services (imputed) (x 1,000)",IMS551002,MMETNA
MMETN,"Licensing of rights to non-financial produced intangible assets (except software and other copyright licensing) (x 1,000)",MPS533000,MMETNA
MMETN,"Management, scientific and technical consulting services (x 1,000)",MPS541600,MMETNA
MMETN,"Other industry-specific machinery (x 1,000)",MPG333200,MMETNA
MMETN,"Plastic resins (x 1,000)",MPG325201,MMETNA
MMETN,"Prepared meals (x 1,000)",MPS722001,MMETNA
MMETN,"Rental of non-residential real estate (x 1,000)",MPS531102,MMETNA
MMETN,"Unwrought precious metals including alloys (x 1,000)",MPG331403,MMETNR
MMETN,"Rooming and boarding services (x 1,000)",MPS721A02,MMETNA
MMETN,"Unwrought copper including alloys (x 1,000)",MPG331401,MMETNC
MMETN,"Iron and steel basic shapes and ferro-alloy products (x 1,000)",MPG331100,MMETNA
MMETN,"Chemical products, n.e.c. (x 1,000)",MPG325900,MMETNA
MMETN,"Metal valves and pipe fittings (x 1,000)",MPG332A02,MMETNA
MMETN,"Non-ferrous metal castings (x 1,000)",MPG331502,MMETNA
MMETN,"Non-metallic mineral products, n.e.c. (x 1,000)",MPG327A09,MMETNA
